date,headline_text,primary_category,categories,is_market_prices,is_supply_geopolitics,is_consumer_fuel,market_match_rule,supply_match_rule,consumer_match_rule
2016-09-05,russia and saudi arabia agree to stabilise oil price,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,oil_geopolitical_country,
2016-12-01,oil surges as opec agrees to cut production,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price_movement,opec,
2016-12-02,oil prices continue rise as opec; russia agree to cut production,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,opec,
2016-12-12,energy stocks after opec decision to cut oil output,market_prices,market_prices;supply_geopolitics,True,True,False,oil_and_financial_market,opec,
2017-09-04,buru energy resumes crude oil exports from wyndham port,market_prices,market_prices;supply_geopolitics,True,True,False,crude_oil,oil_core_supply,
2017-12-27,why petrol expensive global oil deal opec reserve bank dilemma,supply_geopolitics,supply_geopolitics;consumer_fuel,False,True,True,,opec,fuel_price_level
2018-05-10,wall street boost after trump pulls out iran deal oil surge amp,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price_movement,oil_policy,
2018-08-09,wall street falter us china trade tension sinking oil prices,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,oil_geopolitical_event,
2019-04-23,oil six month high us iran oil wall street,market_prices,market_prices;supply_geopolitics,True,True,False,oil_and_financial_market,oil_geopolitical_country,
2019-06-07,fuel prices falling as crude oil market affects petrol stations,market_prices,market_prices;consumer_fuel,True,False,True,crude_oil,,fuel_price_or_cost
2019-09-16,oil prices expected to jump more than 10pc on saudi attack,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,oil_geopolitical_country,
2019-09-30,saudi warns escalation with iran would cause oil price surge,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,oil_geopolitical_country,
2020-03-09,the oil price plunge petrol prices in australia $1 litre,market_prices,market_prices;consumer_fuel,True,False,True,oil_price,,fuel_price_or_cost
2020-03-11,saudi arabia and russia intensify oil price war,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,oil_geopolitical_event,
2020-04-21,coronavirus negative oil prices what it means at petrol pump,market_prices,market_prices;consumer_fuel,True,False,True,oil_price,,reversed_fuel_price_or_cost
2020-04-22,coronavirus oil price fuel security,market_prices,market_prices;supply_geopolitics;consumer_fuel,True,True,True,oil_price,fuel_shortage_security,reversed_fuel_price_or_cost
